,O_fft,O_direct,O_offset,mode,ndim
0,4.240461872734223e-09,1.5336545597850748e-08,1e-05,same,2
1,3.445762189021352e-09,2.0690327698806748e-08,1e-05,valid,2
2,4.14859474978824e-09,1.65125120373245e-08,1e-05,full,2
